id,user_id,empresa_id,created_at
1,24,18,"2025-12-22 19:30:06"
50,506,82,"2026-01-06 16:15:57"
51,506,84,"2026-01-06 16:15:57"
52,506,83,"2026-01-06 16:15:57"
53,506,85,"2026-01-06 16:15:57"
54,506,86,"2026-01-06 16:15:57"
55,969,250,"2026-01-06 17:27:02"
56,969,251,"2026-01-06 17:27:02"
57,969,252,"2026-01-06 17:27:02"
58,969,253,"2026-01-06 17:27:02"
59,969,254,"2026-01-06 17:27:02"
60,969,255,"2026-01-06 17:27:02"
61,969,256,"2026-01-06 17:27:02"
62,969,257,"2026-01-06 17:27:02"
63,969,258,"2026-01-06 17:27:02"
64,969,259,"2026-01-06 17:27:02"
65,969,260,"2026-01-06 17:27:02"
66,969,261,"2026-01-06 17:27:02"
67,969,262,"2026-01-06 17:27:02"
74,849,320,"2026-01-07 16:33:35"
75,849,448,"2026-01-07 16:33:35"
76,849,457,"2026-01-07 16:33:35"
77,849,456,"2026-01-07 16:33:35"
78,991,320,"2026-01-07 16:34:31"
79,991,448,"2026-01-07 16:34:31"
80,991,456,"2026-01-07 16:34:31"
81,991,457,"2026-01-07 16:34:31"
82,992,320,"2026-01-07 16:35:27"
83,992,448,"2026-01-07 16:35:27"
84,992,456,"2026-01-07 16:35:27"
85,992,457,"2026-01-07 16:35:27"
86,993,320,"2026-01-07 16:36:28"
87,993,448,"2026-01-07 16:36:28"
88,993,456,"2026-01-07 16:36:28"
89,993,457,"2026-01-07 16:36:28"
90,994,320,"2026-01-07 16:37:28"
91,994,448,"2026-01-07 16:37:28"
92,994,456,"2026-01-07 16:37:28"
93,994,457,"2026-01-07 16:37:28"
94,995,320,"2026-01-07 16:38:34"
95,995,448,"2026-01-07 16:38:34"
96,995,456,"2026-01-07 16:38:34"
97,995,457,"2026-01-07 16:38:34"
98,996,320,"2026-01-07 16:41:44"
99,996,448,"2026-01-07 16:41:44"
100,996,456,"2026-01-07 16:41:44"
101,996,457,"2026-01-07 16:41:44"
102,817,447,"2026-01-07 17:37:26"
103,817,336,"2026-01-07 17:37:26"
104,733,336,"2026-01-07 17:38:25"
105,733,447,"2026-01-07 17:38:25"
106,718,426,"2026-01-08 12:36:45"
107,718,456,"2026-01-08 12:36:45"
110,1005,122,"2026-01-08 16:22:03"
111,1005,121,"2026-01-08 16:22:03"
115,1119,36,"2026-01-12 19:51:29"
116,1119,50,"2026-01-12 19:51:29"
117,1119,53,"2026-01-12 19:51:29"
118,1119,37,"2026-01-12 19:51:29"
119,1119,38,"2026-01-12 19:51:29"
120,1119,39,"2026-01-12 19:51:29"
121,1119,40,"2026-01-12 19:51:29"
122,1119,41,"2026-01-12 19:51:29"
123,1119,42,"2026-01-12 19:51:29"
124,1119,43,"2026-01-12 19:51:29"
125,1119,44,"2026-01-12 19:51:29"
126,1119,45,"2026-01-12 19:51:29"
127,1119,46,"2026-01-12 19:51:29"
128,1119,47,"2026-01-12 19:51:29"
129,1119,48,"2026-01-12 19:51:29"
130,1119,49,"2026-01-12 19:51:29"
131,1119,51,"2026-01-12 19:51:29"
132,1119,52,"2026-01-12 19:51:29"
155,1259,121,"2026-01-13 12:28:26"
156,1259,123,"2026-01-13 12:28:26"
157,1259,124,"2026-01-13 12:28:26"
171,519,192,"2026-01-19 12:52:54"
172,519,193,"2026-01-19 12:52:54"
173,519,194,"2026-01-19 12:52:54"
174,519,195,"2026-01-19 12:52:54"
175,519,202,"2026-01-19 12:52:54"
176,519,203,"2026-01-19 12:52:54"
177,519,204,"2026-01-19 12:52:54"
178,519,205,"2026-01-19 12:52:54"
179,519,206,"2026-01-19 12:52:54"
180,519,199,"2026-01-19 12:52:54"
189,1389,418,"2026-01-19 19:32:54"
190,1389,426,"2026-01-19 19:32:54"
191,1389,456,"2026-01-19 19:32:54"
192,1389,457,"2026-01-19 19:32:54"
193,1389,448,"2026-01-19 19:32:54"
194,1388,418,"2026-01-19 19:33:46"
195,1388,426,"2026-01-19 19:33:46"
196,1388,456,"2026-01-19 19:33:46"
197,1388,457,"2026-01-19 19:33:46"
198,1388,448,"2026-01-19 19:33:46"
199,32,11,"2026-01-19 20:12:20"
200,32,384,"2026-01-19 20:12:20"
201,31,11,"2026-01-19 20:13:02"
202,31,384,"2026-01-19 20:13:02"
203,42,11,"2026-01-19 20:13:56"
204,42,384,"2026-01-19 20:13:56"
205,30,11,"2026-01-19 20:14:45"
206,30,384,"2026-01-19 20:14:45"
207,34,11,"2026-01-19 20:15:50"
208,34,384,"2026-01-19 20:15:50"
209,46,11,"2026-01-19 20:17:58"
210,46,384,"2026-01-19 20:17:58"
211,507,55,"2026-01-27 15:47:11"
212,507,79,"2026-01-27 15:47:11"
213,763,55,"2026-01-27 15:48:26"
214,763,79,"2026-01-27 15:48:26"
215,1464,55,"2026-01-27 15:48:58"
216,1464,79,"2026-01-27 15:48:58"
217,24,5,"2026-01-28 19:28:28"
222,1015,123,"2026-02-05 18:48:30"
223,1015,124,"2026-02-05 18:48:30"
225,1015,490,"2026-02-05 18:48:30"
226,1015,122,"2026-02-05 18:48:30"
227,178,5,"2026-02-06 13:15:37"
228,178,9,"2026-02-06 13:15:37"
229,1715,448,"2026-02-24 12:17:24"
230,1715,456,"2026-02-24 12:17:24"
231,1715,457,"2026-02-24 12:17:24"
232,1757,448,"2026-02-25 12:28:59"
233,1757,457,"2026-02-25 12:28:59"
234,1757,456,"2026-02-25 12:28:59"
235,1758,448,"2026-02-25 12:29:52"
236,1758,456,"2026-02-25 12:29:52"
237,1758,457,"2026-02-25 12:29:52"
238,1759,448,"2026-02-25 12:31:07"
239,1759,456,"2026-02-25 12:31:07"
240,1759,457,"2026-02-25 12:31:07"
241,1760,448,"2026-02-25 12:31:42"
242,1760,456,"2026-02-25 12:31:42"
243,1760,457,"2026-02-25 12:31:42"
262,1879,36,"2026-03-13 15:33:33"
263,1879,37,"2026-03-13 15:33:33"
264,1879,38,"2026-03-13 15:33:33"
265,1879,39,"2026-03-13 15:33:33"
266,1879,40,"2026-03-13 15:33:33"
267,1879,41,"2026-03-13 15:33:33"
268,1879,42,"2026-03-13 15:33:33"
269,1879,43,"2026-03-13 15:33:33"
270,1879,44,"2026-03-13 15:33:33"
271,1879,45,"2026-03-13 15:33:33"
272,1879,46,"2026-03-13 15:33:33"
273,1879,47,"2026-03-13 15:33:33"
274,1879,48,"2026-03-13 15:33:33"
275,1879,49,"2026-03-13 15:33:33"
276,1879,50,"2026-03-13 15:33:33"
277,1879,51,"2026-03-13 15:33:33"
278,1879,52,"2026-03-13 15:33:33"
279,1879,53,"2026-03-13 15:33:33"
282,568,389,"2026-03-27 18:19:33"
283,568,485,"2026-03-27 18:19:33"
284,568,494,"2026-03-27 18:19:33"
285,1908,389,"2026-03-27 18:30:35"
286,1908,485,"2026-03-27 18:30:35"
287,1908,494,"2026-03-27 18:30:35"
288,206,103,"2026-04-02 16:17:43"
289,206,28,"2026-04-02 16:17:43"
290,1125,37,"2026-04-13 19:01:44"
291,1125,44,"2026-04-13 19:01:44"
292,511,115,"2026-04-21 15:10:21"
293,511,117,"2026-04-21 15:10:21"
294,511,106,"2026-04-21 15:10:21"
295,511,437,"2026-04-21 15:10:21"
296,1997,456,"2026-04-22 19:25:34"
297,1997,457,"2026-04-22 19:25:34"
298,1997,448,"2026-04-22 19:25:34"
299,1996,448,"2026-04-22 19:26:09"
300,1996,456,"2026-04-22 19:26:09"
301,1996,457,"2026-04-22 19:26:09"
302,1998,448,"2026-04-22 19:26:40"
303,1998,456,"2026-04-22 19:26:40"
304,1998,457,"2026-04-22 19:26:40"
305,1999,456,"2026-04-23 13:43:29"
306,1999,457,"2026-04-23 13:43:29"
307,1999,448,"2026-04-23 13:43:29"
308,2000,448,"2026-04-23 13:45:09"
309,2000,456,"2026-04-23 13:45:09"
310,2000,457,"2026-04-23 13:45:09"
311,2046,389,"2026-04-30 17:05:42"
312,2046,485,"2026-04-30 17:05:42"
313,2046,494,"2026-04-30 17:05:42"
314,1899,497,"2026-05-28 21:53:36"
315,1899,498,"2026-05-28 21:53:36"
316,1899,502,"2026-05-28 21:53:36"
317,2130,448,"2026-06-05 13:36:34"
318,2130,457,"2026-06-05 13:36:34"
319,2130,456,"2026-06-05 13:36:34"
320,2131,448,"2026-06-05 13:37:44"
321,2131,456,"2026-06-05 13:37:44"
322,2131,457,"2026-06-05 13:37:44"
323,44,11,"2026-06-10 17:26:37"
324,44,384,"2026-06-10 17:26:37"
342,1915,36,"2026-06-23 13:57:25"
343,1915,37,"2026-06-23 13:57:25"
344,1915,38,"2026-06-23 13:57:25"
345,1915,39,"2026-06-23 13:57:25"
346,1915,40,"2026-06-23 13:57:25"
347,1915,41,"2026-06-23 13:57:25"
348,1915,42,"2026-06-23 13:57:25"
349,1915,43,"2026-06-23 13:57:25"
350,1915,44,"2026-06-23 13:57:25"
351,1915,45,"2026-06-23 13:57:25"
352,1915,46,"2026-06-23 13:57:25"
353,1915,47,"2026-06-23 13:57:25"
354,1915,48,"2026-06-23 13:57:25"
355,1915,49,"2026-06-23 13:57:25"
356,1915,50,"2026-06-23 13:57:25"
357,1915,51,"2026-06-23 13:57:25"
358,1915,53,"2026-06-23 13:57:25"
359,1915,52,"2026-06-23 13:57:25"
